0,1,2,3,4,5,6,7,8,9
0.29038,0.22127,0.58066,0.05229,0.10820,0.02724,0.32678,0.29492,0.01899,0.37721,
0.20842,0.44135,0.05229,0.39211,0.38733,0.37339,0.53352,0.54547,0.01899,0.06747,
0.04245,0.58878,0.05447,0.15626,0.59224,0.12124,0.59524,0.46302,0.01899,0.28178,
0.04171,0.25003,0.40608,0.21480,0.15195,0.15357,0.16346,0.59909,0.01899,0.19924,
0.26594,0.12594,0.57052,0.23744,0.41509,0.28438,0.20820,0.05229,0.01899,0.22136,
0.20661,0.45324,0.46302,0.19117,0.24739,0.50645,0.35496,0.39211,0.01899,0.00375,
0.47313,0.23677,0.26947,0.41459,0.16393,0.05229,0.06577,0.56103,0.01899,0.09987,
0.27810,0.00706,0.16595,0.10440,0.03618,0.02145,0.27238,0.05229,0.01899,0.02948,
0.46302,0.04772,0.05391,0.44904,0.38340,0.37876,0.50243,0.39211,0.01899,0.04529,
0.00991,0.04835,0.00561,0.09910,0.04273,0.11804,0.14318,0.01816,0.01243,0.01408,
0.36082,0.38924,0.05543,0.19934,0.03186,0.15063,0.30324,0.04279,0.04817,0.05275,
0.11205,0.00969,0.31178,0.44373,0.33626,0.03077,0.25915,0.04279,0.32000,0.05761,
0.34356,0.04218,0.43920,0.04094,0.45147,0.03077,0.14682,0.04094,0.44380,0.05705,
0.45783,0.02125,0.50313,0.04672,0.04094,0.03077,0.15647,0.04672,0.50588,0.04681,
0.39662,0.02125,0.29060,0.03064,0.02662,0.01768,0.05307,0.03064,0.02931,0.02227,
0.19624,0.15739,0.16934,0.03358,0.17027,0.01768,0.11482,0.02714,0.17756,0.01737,
0.02147,0.03513,0.37895,0.12754,0.17850,0.04249,0.23651,0.29305,0.38591,0.01737,
0.03052,0.29419,0.15273,0.16104,0.07652,0.12469,0.16987,0.43149,0.02147,0.01737,
0.29161,0.42904,0.04635,0.37033,0.31532,0.43772,0.25227,0.02147,0.03052,0.01737,
0.09142,0.49835,0.30431,0.46963,0.44466,0.18767,0.16777,0.16928,0.03037,0.01737,
0.25052,0.05757,0.19686,0.19884,0.05022,0.17313,0.05134,0.15390,0.28535,0.01737,
0.17170,0.15777,0.19760,0.02741,0.02230,0.38296,0.05136,0.04516,0.05757,0.01737,
0.21403,0.44910,0.06952,0.20068,0.28213,0.35315,0.17231,0.30722,0.15777,0.01737,
0.14417,0.03103,0.01362,0.04254,0.18893,0.13548,0.18138,0.19957,0.16001,0.01737,
0.74481,0.03103,0.17450,0.83607,0.16746,0.01709,0.69405,1.03158,1.21895,0.29271,
0.30472,0.01675,0.21323,0.33331,0.08261,0.01709,0.35353,0.49176,0.04460,0.31934,
0.07719,0.01675,0.14450,0.09025,0.08409,0.01883,0.12124,0.01677,0.01675,0.29371,
0.02203,0.01675,0.02219,0.07798,0.06547,0.02108,0.09589,0.01536,0.09328,0.02704,
0.06939,0.01856,0.01838,0.02191,0.03921,0.01340,0.01456,0.01536,0.06516,0.01683,
0.02900,0.12275,0.09351,0.02358,0.10413,0.09952,0.02943,0.04644,0.07156,0.14364,
0.09443,0.05973,0.13625,0.10857,0.12633,0.06819,0.08540,0.00349,0.12294,0.07156,
0.14258,0.05973,0.17192,0.01621,0.08929,0.06775,0.01701,0.02128,0.15932,0.08872,
0.15321,0.01796,0.04307,0.13830,0.06335,0.13574,0.13830,0.06936,0.01313,0.14784,
0.16811,0.03006,0.04307,0.02403,0.10034,0.01358,0.00245,0.04843,0.22561,0.31162,
0.37730,0.03006,0.42056,0.12771,0.33970,0.45271,0.33970,0.09112,0.07985,0.04213,
0.19034,0.03006,0.21123,0.06889,0.18008,0.34531,0.17289,0.05904,0.02523,0.04241,
0.04776,0.03006,0.11880,0.02622,0.07153,0.25572,0.09515,0.06644,0.02268,0.04710,
0.06964,0.03006,0.07087,0.03091,0.02370,0.36553,0.06685,0.07486,0.05528,0.05689,
0.02814,0.04593,0.09655,0.03675,0.02370,0.45144,0.02694,0.02360,0.04578,0.07114,
0.02790,0.07369,0.03041,0.04209,0.06570,0.17929,0.05239,0.02360,0.07501,0.07411,
0.09207,0.11288,0.14597,0.06027,0.04628,0.07823,0.04172,0.02360,0.11834,0.05278,
0.15462,0.03916,0.04326,0.15231,0.20538,0.10661,0.06787,0.02360,0.21662,0.11106,
0.03818,0.22034,0.08679,0.08784,0.20000,0.08718,0.08003,0.02360,0.03950,0.05478,
0.20889,0.03950,0.21985,0.21551,0.22385,0.13036,0.13032,0.02360,0.13270,0.22421,
0.22584,0.22536,0.22602,0.22341,0.22562,0.17342,0.22336,0.02360,0.21412,0.64885,
0.03375,0.03675,0.02789,0.22523,0.05319,0.18073,0.02638,0.02360,0.22528,0.64885,
0.15434,0.16900,0.16389,0.22566,0.22600,0.22881,0.16315,0.02360,0.21883,0.20802,
0.12244,0.11833,0.12075,0.22353,0.03942,0.61022,0.22348,0.02360,0.22130,0.22560,
0.17556,0.05702,0.17521,0.22688,0.14543,0.39789,0.06457,0.02360,0.03678,0.22849,
0.03062,0.22402,0.22593,0.22300,0.04346,0.22539,0.14539,0.02360,0.04225,0.22775,
0.07567,0.22675,0.05170,0.22365,0.20319,0.19222,0.03477,0.02360,0.12112,0.40037,
0.18398,0.23042,0.22399,0.04389,0.16066,0.21010,0.10504,0.02360,0.13499,0.03702,
0.13481,0.05874,0.03695,0.10881,0.20157,0.21567,0.15509,0.02360,0.04801,0.06289,
0.14168,0.15937,0.05012,0.12393,0.17809,0.09428,0.02873,0.02360,0.05973,0.04497,
0.22586,0.58903,0.41677,0.05292,0.22134,0.51827,0.09504,0.02360,0.44285,0.01142,
0.11041,0.24498,0.27042,0.04422,0.07772,0.17622,0.13738,0.06907,0.33104,0.01142,
0.04690,0.16353,0.18212,0.04447,0.06231,0.01088,0.10101,0.05301,0.01929,0.01142,
0.39674,0.66410,0.43706,0.68960,0.08972,0.33209,0.65986,0.32946,0.01929,0.03030,
0.07463,0.14936,0.23877,0.03030,0.25047,0.37921,0.35783,0.11018,0.01929,0.02504,
0.17103,0.01530,0.13908,0.02504,0.10593,0.29873,0.09956,0.19850,0.01929,0.00976,
0.13772,0.17224,0.75468,0.43829,0.34161,0.34161,0.43396,0.61923,0.03132,0.57419,
0.41030,0.31577,0.11709,0.09915,0.20782,0.56222,0.44171,0.58067,0.03132,0.06017,
0.55058,0.38612,0.37960,0.02740,0.27310,0.02300,0.44270,0.11709,0.03132,0.36331,
0.23900,0.03400,0.33753,0.20307,0.42302,0.02300,0.02371,0.02276,0.22527,0.28683,
0.04127,0.03103,0.13009,0.02627,0.43519,0.01819,0.31188,0.02276,0.19534,0.02855,
0.05656,0.04898,0.13224,0.06855,0.44984,0.01819,0.23238,0.09167,0.16406,0.02529,
0.29915,0.24633,0.16945,0.18477,0.17385,0.01819,0.18422,0.12067,0.20149,0.02972,
0.80041,0.20960,0.01145,0.30637,0.15702,0.03653,0.14897,0.36419,0.26764,0.34025,
0.62328,0.67926,0.79434,0.34455,0.15702,0.06140,0.64318,0.18058,0.15920,0.64730,
0.26579,0.23317,0.15920,0.09502,0.15702,0.10877,0.23646,0.01313,0.19072,0.22755,
0.13272,0.02985,0.14690,0.03611,0.15702,0.07871,0.03133,0.02702,0.12851,0.06544,
0.13272,0.09602,0.15629,0.14778,0.15730,0.11884,0.09526,0.09297,0.09185,0.03730,
0.13272,0.12405,0.15509,0.16473,0.15730,0.13901,0.04049,0.12349,0.02257,0.10019,
0.05240,0.14981,0.11058,0.16771,0.14543,0.10156,0.23517,0.15205,0.02257,0.08724,
0.11497,0.21929,0.10581,0.22684,0.11457,0.07805,0.05115,0.10833,0.02257,0.03913,
0.08950,0.25473,0.06094,0.11223,0.08964,0.12962,0.22745,0.14236,0.02257,0.02021,
0.13573,0.17046,0.04057,0.08164,0.08586,0.15631,0.14738,0.21757,0.23388,0.02021,
0.20066,0.11919,0.23878,0.03761,0.03184,0.15230,0.06614,0.11643,0.17046,0.02021,
0.14202,0.15123,0.11369,0.01393,0.02273,0.01977,0.13040,0.13290,0.11919,0.02021,
0.66717,0.03713,0.13546,0.19832,0.79424,0.01977,0.92917,0.21922,0.96176,0.14414,
0.12105,0.01891,0.21756,0.64801,0.18509,0.01977,0.42493,0.03002,0.03713,0.44711,
0.01721,0.01891,0.02116,0.07227,0.03839,0.03160,0.20026,0.02481,0.09581,0.62800,
0.01721,0.01720,0.03158,0.01360,0.01377,0.02224,0.13077,0.03602,0.00534,0.03462,
0.81420,0.34467,0.23444,0.31982,0.13618,0.05358,0.54956,0.11165,0.11766,0.18182,
0.25302,0.71246,0.89518,0.17926,0.81574,1.05822,0.01177,0.44075,0.93735,0.40933,
0.56986,0.51028,0.08930,0.42876,0.23118,0.34735,0.23755,0.12247,0.07645,0.68536,
0.23119,0.12976,0.24721,0.06888,0.23118,0.08268,0.06039,0.40691,0.39974,0.45990,
0.38259,0.57335,0.55706,0.33841,0.19010,0.16979,0.06039,0.57351,0.42635,0.41512,
0.27851,0.03930,0.40527,0.07380,0.19645,0.17639,0.06039,0.41512,0.04483,0.31670,
0.02067,0.03930,0.01277,0.28528,0.11974,0.21030,0.05091,0.10829,0.27602,0.02604,
0.06665,0.06725,0.01940,0.01089,0.25884,0.22747,0.11034,0.27556,0.02816,0.02604,
0.65167,0.26218,0.37021,0.08459,0.36014,0.07257,0.36176,0.56883,0.02816,0.76612,
0.22838,0.41720,0.12917,0.11085,0.13929,0.22322,0.22263,0.56957,0.02816,0.08459,
0.10092,0.47522,0.08239,0.13738,0.22169,0.02864,0.08664,0.01554,0.02816,0.10197,
0.01494,0.19345,0.05157,0.28570,0.32359,0.15825,0.27468,0.24586,0.19345,0.07805,
0.51805,0.02577,0.23214,0.86526,0.97746,0.01028,0.01359,0.18128,0.59599,0.07805,
0.02454,0.02577,0.72604,0.55992,0.02791,0.50368,0.22200,0.32995,0.73571,0.09386,
0.21706,0.02577,0.51974,0.25669,0.44160,0.52937,0.06765,0.23056,0.02992,0.17590,
0.31919,0.02577,0.35615,0.05774,0.33625,0.29639,0.06258,0.30412,0.03396,0.29209,
0.23966,0.02577,0.05503,0.07128,0.27883,0.02791,0.27564,0.28543,0.04205,0.30180,
0.26317,0.02577,0.04328,0.05776,0.35651,0.27363,0.21188,0.25886,0.01600,0.02992,
0.04435,0.24296,0.03741,0.22910,0.02443,0.04374,0.04899,0.05585,0.01600,0.02085,
0.24105,0.02443,0.03827,0.05089,0.03037,0.02593,0.02784,0.24013,0.01600,0.01736,
0.03941,0.03036,0.08728,0.10832,0.01394,0.03393,0.06455,0.06846,0.06356,0.11678,
0.03548,0.17227,0.22691,0.03244,0.21096,0.27030,0.03548,0.06846,0.12992,0.16966,
0.03801,0.25227,0.18940,0.03244,0.06039,0.03602,0.03501,0.03254,0.10319,0.01410,
0.06195,0.09220,0.61012,0.55438,0.27874,0.47398,0.16521,0.18628,0.28194,0.02221,
0.17304,0.09220,0.17523,0.03463,0.55933,0.03105,0.44269,0.16877,0.23978,0.18004,
0.22901,0.09220,0.16049,0.20495,0.04004,0.12166,0.24871,0.26181,0.28443,0.25902,
0.23936,0.01556,0.09201,0.04800,0.04004,0.24504,0.07163,0.21883,0.27187,0.16144,
0.04617,0.01556,0.10345,0.14878,0.15961,0.19193,0.30020,0.16538,0.32542,0.17539,
0.23549,0.01556,0.28834,0.10220,0.12958,0.08962,0.19384,0.17919,0.19418,0.04920,
0.08337,0.01556,0.02542,0.31196,0.24040,0.31013,0.15376,0.21760,0.30947,0.02177,
0.00495,0.01556,0.17834,0.00577,0.17904,0.03864,0.03076,0.15229,0.12960,0.06918,
0.34158,0.03649,0.20014,0.13009,0.53685,0.24991,0.48948,0.19992,0.45083,0.81463,
0.59963,0.03649,0.24561,0.28759,0.01947,0.27686,0.24228,0.21054,0.18289,0.02938,
0.01387,0.12372,0.35974,0.16082,0.01908,0.44111,0.01113,0.15684,0.46923,0.05001,
0.32122,0.06343,0.70220,0.60039,0.57962,0.54334,0.08935,0.04912,0.10972,0.05001,
0.62554,0.44146,0.54334,0.79503,0.75648,0.22015,0.52389,0.45306,0.53785,0.05001,
0.76669,0.14293,0.22015,0.59068,0.77934,0.00288,0.72290,0.68297,0.72578,0.05001,
0.78438,0.05439,0.09150,0.26727,0.59068,0.01857,0.81044,0.79070,0.44580,0.05001,
0.60559,0.42539,0.67805,0.35956,0.19340,0.04543,0.03378,0.52717,0.20880,0.05001,
0.81833,0.31363,0.05040,0.27285,0.04490,0.60979,0.03378,0.21035,0.66104,0.58079,
0.58079,0.38729,0.04648,0.21500,0.61276,0.24055,0.03378,0.38055,0.43483,0.22685,
0.94876,0.14308,0.60118,0.04318,0.58079,0.00887,0.03378,0.85629,0.37356,0.11168,
0.58079,0.48068,0.39453,0.53896,0.94876,0.03996,0.03378,0.31022,0.44263,0.06175,
0.94876,0.17657,0.27358,0.94365,0.08400,0.04575,0.03378,0.83725,0.34884,0.08146,
